رقم الحديث;طرف الحديث;اسم الصحابي الراوي;تخريج الحديث;درجة الحديث
19;الطهور ماؤه الحل ميتته;أبو هريرة;أحمد (2/361، 378)، وأبو داود (83)، والترمذي (69)، والنسائي (1/176)، وابن ماجه (386);صحيح
20;رأيت رسول الله ﷺ يتوضأ من ثُلَّة فأتيته فأتيته الماء فقال: دعه;عبد الله بن عمر بن الخطاب;أحمد (2/59)، ومسلم (1/165)، والنسائي (1/34);صحيح
21;جاءت أسماء بنت أبي بكر إلى النبي ﷺ فقالت: إحدانا يصيبها الدم من الحيض فقال: تحته ثم تقرصه بالماء ثم تنضحه ثم تصلي فيه;أسماء بنت أبي بكر;البخاري (1/161)، ومسلم (2/460)، وأحمد (6/347);متفق عليه
22;يا رسول الله ليس لي إلا ثوب واحد وأنا أحيض فيه فإذا طهرت فاغسلي الدم ثم صلي فيه;خولة بنت يسار;أبو داود (365)، والنسائي (1/155)، وابن ماجه (629);صحيح
23;سألت عائشة عن الحائض يصيبها الدم من ثوبها قالت: تغسله فإن لم يذهب فلتقطعه بشيء ثم تصل في الباقي ثلاث حيض لا أغسل لي شيئاً منه;معاذة;أبو داود (364);صحيح
24;أن أبا طلحة أتانا في آنية المجوس إذا اضطُررنا إليها فاغسلوها بالماء وأطبخوا فيها;أنس بن عبد الله بن عمر;أحمد (3/174);صحيح
25;أنه قال قوم بأرض فارس إنا بأرض قوم أهل كتاب فنطبخ في آنيتهم ونشرب فيها قال: إن لم تجدوا غيرها فارحضوها بالماء;أبو ثعلبة الخشني;الترمذي (1794)، حديث حسن صحيح;حسن صحيح
26;قام النبيّ ﷺ في المسجد فقال: دعوه وأريقوا على بوله سجلاً من ماء;أبو هريرة;أحمد (2/239)، وأبو داود (380)، والترمذي (147)، وابن ماجه (529);صحيح
27;بيناما نحن في المسجد مع رسول الله ﷺ إذ جاء أعرابي فقام يبول في المسجد...;أنس بن مالك;البخاري (1/65/1)، ومسلم (1/194)، وأحمد (3/239);متفق عليه
28;إذا وطئ أحدكم بنعله الأذى فإن التراب له طهور;أبو هريرة;أبو داود (385)، وابن خزيمة (292);صحيح
29;أن النبيّ ﷺ جاء المسجد فنظر في نعليه فقال: اخلعهما ثم نظروا فإذا في نعليه خبثا;أبو سعيد الخدري;أحمد (3/20)، وأبو داود (650)، وابن خزيمة (1017);صحيح
30;أن أم قيس بنت محصن أتت بابن لها صغير لم يأكل الطعام إلى رسول الله ﷺ فبال على ثوبه فدعا بماء فنضحه ولم يغسله;أم قيس بنت محصن;البخاري (1/55)، ومسلم (1/167)، وأحمد (6/355);متفق عليه
31;بول الغلام الرضيع ينضح وبول الجارية يُغسل;علي بن أبي طالب;أحمد (1/76)، وأبو داود (376)، والترمذي (610);صحيح
32;أتيت رسول الله ﷺ بصبي يحنكه فبال عليه فأتبعه الماء;عائشة;البخاري (1/108/7);صحيح
33;يُغسل من بول الجارية ويُرَشُّ من بول الغلام;أبو السمح خادم النبي ﷺ;أبو داود (376)، والنسائي (1/158)، وابن ماجه (526);صحيح
34;أتيت بغلام فبال عليه فأمرت به فنُضح;أم كرز الخزاعية;أحمد (6/422);صحيح
35;بول الغلام الرضيع ينضح وبول الجارية يُغسل;أم كرز;ابن ماجه (522);صحيح
36;أن الحسين بن علي قال لأبيه علي في حجر النبي ﷺ فقلت: يا رسول الله، أعطني ثوباً غير هذا قال: إنما ينضح من بول الذكر ويُغسل من بول الأنثى;لبابة بنت الفضل;أبو داود (376)، وابن ماجه (522);صحيح
37;أن رهطاً من عرينة قدموا المدينة فاجتووا المدينة فأمر لهم رسول الله ﷺ بلقاح وأمرهم أن يخرجوا فيشربوا من أبوالها وألبانها;أنس بن مالك;البخاري (1/108/7)، ومسلم (5/102);متفق عليه
38;كنت ألقى من الأذى في المذي فكنت أكثر منه الاغتسال فذكرت ذلك للنبي ﷺ فقال: يكفيك من ذلك الوضوء;سهل بن حنيف;أحمد (3/485)، وأبو داود (208)، والترمذي (115)، وابن ماجه (506);حسن صحيح
39;سألت رسول الله ﷺ عن المذي وكنت رجلاً مذّاءً فأمرت المقداد بن الأسود فسأله فقال: فيه الوضوء;علي بن أبي طالب;البخاري (1/45)، ومسلم (1/165)، وأبو داود (206);متفق عليه
40;سألت رسول الله ﷺ عن الماء يكون بعد الماء فقال: ذلك المذي فكل فحل يمذي فتغسل ذكرك وأنثييك وتتوضأ للصلاة;عبد الله بن سعد;أبو داود (211);صحيح
41;كنت أفرك المني من ثوب رسول الله ﷺ ثم يذهب فيصلي فيه;عائشة;البخاري (1/158/4)، ومسلم (2/460);متفق عليه
42;عن إسحاق بن يوسف عن عطاء عن ابن عباس ﵄ عن النبي ﷺ أنه سُئل عن المني يصيب النوب فقال: إنما هو بمنزلة المخاط والبصاق وإنما يكفيك أن تمسحه بخرقة أو إذخرة;ابن عباس;الدارقطني (1/124)، وهو موقوف;موقوف
43;إذا وقع الذباب في شراب أحدكم فليغمسه كله ثم ليطرحه فإن في أحد جناحيه داء وفي الآخر شفاء;أبو هريرة;البخاري (1/181/4)، وأبو داود (3844)، وابن ماجه (3505);صحيح
44;نهى النبي ﷺ أن يتبع بعضهم بعضاً فيعضهم بعض أي ينمكعهم بعضهم فلما حلق رأسه قسمه بين أصحابه;أنس بن مالك;البخاري (3/78/8)، ومسلم (7/60);متفق عليه
45;لما أراد رسول الله ﷺ أن يحلق رأسه الحجام أخذ أبو طلحة شعره بيده فدفعه إلى أم سليم فكانت أم سليم تدوفه في طيبها;أنس;أحمد (3/224);صحيح
46;عن أنس: أن أم سليم كانت تبسط لنا النطع فجمعته في قارورة ثم جعلته في سك حين حضرت الوفاة;أنس بن مالك;البخاري (3/78/8);صحيح
47;في حديث صلح الحديبية من رواية المسور ومروان: أن عروة بن مسعود قام من عند مسعود قال ما رأى مع رسول الله ﷺ ما يبصقه إلا ابتدروه;المسور بن مخرمة ومروان;البخاري (3/253/4);صحيح
48;أرسلني رسول الله ﷺ إلى أهل سلمة بفضلة من ماء شعر من شعر رسول الله ﷺ فيه بجلدة فكان إذا أصاب الإنسان عين أو شيء بعث إليه بذلك الجُلجل فأطلع في الجلجل فرأيت شعرات حمراً;عثمان بن عبد الله بن موهب;البخاري (3/78/8);صحيح
49;أن عبد الله بن زيد ـ وهو صاحب الأذان ـ أنه شهد رسول الله ﷺ عند المنحر وكان رجل من قريش يقسم في نوبه فأعطاه في نوبه فقال: صاحبه فأعطى الظفارة فأقلمه على رجال وقال: وإن شعرنا عندنا لمخضوب بالحناء والكتم;عبد الله بن زيد بن عاصم;أحمد (4/42);صحيح
50;نهى رسول الله ﷺ عن جلود السباع;أبو المليح بن أسامة عن أبيه;أحمد (5/74)، وأبو داود (4132)، والترمذي (1770)، والنسائي (7/176);صحيح
51;أتعلمون أن النبيّ ﷺ نهى عن ركوب جلود النمور؟;معاوية بن أبي سفيان;أبو داود (4131)، وأحمد (4/94، 99);صحيح
52;هل تعلم أن رسول الله ﷺ نهى عن لبس جلود السباع والركوب عليها؟;المقدام بن معدي كرب;أبو داود (4131)، والنسائي (7/177);صحيح
53;نهى رسول الله ﷺ عن الحرير والديباج والذهب والنمور;المقدام بن معدي كرب;أحمد (4/131)، والنسائي (7/177);صحيح
54;لا تصحب الملائكة رفقة فيها جلد نمر;أبو هريرة;أبو داود (2556);صحيح
55;أن ميمونة مولاة رسول الله ﷺ أخبرته أن مولاة لهم توفيت فمروا بها على النبي ﷺ فقال: ألا دبغتموه فانتفعتم به؟ فقالوا: إنها ميتة قال: إنما حرم أكلها;ابن عباس;الجماعة إلا البخاري، وابن ماجه من مسند ميمونة;صحيح
56;سمعت رسول الله ﷺ يقول: أيما إهاب دبغ فقد طهر;ابن عباس;أحمد (1/219)، ومسلم (1/277)، وأبو داود (4123)، والترمذي (1728)، والنسائي (7/173);صحيح
57;عن زوجة النبيّ ﷺ عن سودة، عن ابن عباس: ماتت لنا شاة فدبغنا مسكها ثم ما زلنا ننتبذ فيه حتى صار شناً;ابن عباس;أحمد (1/219)، والبخاري (1/174/4)، والنسائي (7/173);صحيح
58;أمر النبيّ ﷺ أن يُنتفع بجلود الميتة إذا دُبغت;عائشة;الترمذي (1729)، إلا الترمذي;حسن
59;ماتت شاة لزينب بنت النبي ﷺ فقال مولاها: يا رسول الله إنها ماتت شاة لفلانة قال: فلولا أخذتم إهابها فانتفعتم به؟ قالوا: إنها ميتة فقال: إنما حرم أكلها والله تعالى: فقل لا أجد في ما أوحي إلي محرماً;ابن عباس;أحمد (1/219)، ومسلم (1/277);صحيح
60;كتب إلينا رسول الله ﷺ قبل وفاته بشهر: أن لا تنتفعوا من الميتة بإهاب ولا عصب;عبد الله بن عكيم;أحمد (4/310)، وأبو داود (4127)، والترمذي (1729)، والنسائي (7/175);صحيح
61;لما أمسى أصحاب رسول الله ﷺ اليوم الذي فُتحت عليهم فيه خيبر أوقدوا نيراناً كثيرة فقال: ما هذه النيران؟ قالوا: ننضج لحوم حُمر الإنسية قال: اكفئوها...;سلمة بن الأكوع;البخاري (1/45)، ومسلم (1/194)، وأحمد (4/47);متفق عليه
62;أصبنا يوم خيبر حماراً فنادى مناد رسول الله ﷺ: إن الله ورسوله ينهاكم عن لحوم الحمر الإنسية فإنها رجس أو نجس;أنس بن مالك;البخاري (1/65/1)، ومسلم (1/194)، وأحمد (3/133);متفق عليه
63;سمعت رسول الله ﷺ يقول: لا تلبسوا الحرير ولا الديباج ولا تشربوا في آنية الذهب والفضة ولا تأكلوا في صحافها فإنها لهم في الدنيا ولكم في الآخرة;حذيفة بن اليمان;البخاري (1/178/3)، ومسلم (6/135);متفق عليه
64;إن النبيّ ﷺ قال: إن الذي يشرب في إناء الفضة إنما يجرجر في بطنه نار جهنم;أم سلمة;البخاري (1/178/3)، ومسلم (6/135);متفق عليه
65;كأنما يجرجر في بطنه في آنية فضة قال في الذي يشرب في آنية فضة;عائشة;أحمد (6/98)، وابن ماجه (3413);صحيح
66;نهانا رسول الله ﷺ عن الشرب في آنية الفضة، البراء بن عازب فإنه من شرب فيها في الدنيا لم يشرب منها في الآخرة مختصر من مسلم;البراء بن عازب;البخاري (1/178/3)، ومسلم (6/134);متفق عليه
67;من شرب في إناء ذهب أو فضة فإنه يجرجر في بطنه نار جهنم;ابن عمر;البخاري (1/146/7)، ومسلم (6/134);متفق عليه
68;أن النبيّ ﷺ فدح الانكسر القدح الانكسر فاتخذ سلسلة من فضة;أنس بن مالك;البخاري (1/56/8);صحيح
69;أتانا النبيّ ﷺ فأخرجنا له ماء في تور من صُفر فتوضأ;عبد الله بن زيد بن عاصم;البخاري (1/36)، وأبو داود (122)، وابن ماجه (399);صحيح
70;أن رسول الله ﷺ كان يتوضأ في مخضب;زينب بنت جحش;أحمد (6/309);صحيح
71;أن النبيّ ﷺ كان في حديثه له في سقاءه ففطم الناس فقلب إناءه على وضوءه وأذكر اسم الله وخمِّر إناءه ولو أن تعرضه عليه شيئاً;جابر بن عبد الله;البخاري (1/108/7)، ومسلم (6/107);متفق عليه
72;كنا نغزو مع رسول الله ﷺ فنصيب من آنية المشركين فنستعملها;جابر بن عبد الله;أحمد (3/302)، وأبو داود (3839);صحيح
73;قلت لرسول الله ﷺ: إنا بأرض قوم أهل كتاب أفنأكل في آنيتهم؟ قال: إن وجدتم غيرها فلا تأكلوا فيها وإن لم تجدوا فاغسلوها وكلوا فيها;أبو ثعلبة الخشني;البخاري (1/178/3)، ومسلم (5/102);متفق عليه
74;أن النبيّ ﷺ دعا يهودياً إلى خبز شعير وإهالة سنخة فأجابه;أنس بن مالك;أحمد (3/200);صحيح
75;كان النبيّ ﷺ إذا دخل الخلاء قال: اللهم إني أعوذ بك من الخبث والخبائث;أنس بن مالك;البخاري (1/88/1)، ومسلم (1/161);متفق عليه
76;كان النبيّ ﷺ إذا خرج من الخلاء قال: غفرانك;عائشة;الخمسة إلا النسائي;صحيح
77;كان النبيّ ﷺ إذا خرج من الخلاء قال: الحمد لله الذي أذهب عني الأذى وعافاني;أنس بن مالك;ابن ماجه (301);حسن
78;كان النبيّ ﷺ إذا دخل الخلاء نزع خاتمه;أنس بن مالك;الخمسة إلا البخاري، وصححه الترمذي;صحيح
79;أن رجلاً مر برسول الله ﷺ وهو يبول فسلّم عليه فلم يرد عليه;ابن عمر;الجماعة إلا البخاري;صحيح
80;أن أبا سعيد ﵁ لا يخرج الرجلان يضربان الغائط كاشفين عن عورتهما يتحدثان;أبو سعيد الخدري;أحمد (3/36)، وأبو داود (15)، وابن ماجه (342);صحيح
81;خرجنا مع النبيّ ﷺ في سفر فكان لا يأتي البراز حتى يغيب فلا يُرى;جابر بن عبد الله ﵁;ابن ماجه (335);صحيح
82;ما أحب أن أستتر بِهَدَفٍ وأنا أبول;عبد الرحمن بن عدي بن الخيار ﵁;أحمد (1/204)، وأبو داود (2)، وابن ماجه (335);صحيح
83;نهى النبي ﷺ أن يُستَقبل القبلتين ببول أو غائط;أبو هريرة;أحمد (2/204)، وأبو داود (2)، وابن ماجه (335);صحيح
84;إذا جلس أحدكم على حاجته فلا يستقبل القبلة ولا يستدبرها;أبو هريرة;البخاري (1/48/1)، ومسلم (1/155)، وأحمد (2/284)، وأبو داود (8);متفق عليه
85;إذا أتيتم الغائط فلا تستقبلوا القبلة ولا تستدبروها ولكن شرِّقوا أو غرِّبوا;أبو هريرة;البخاري (1/48/1)، ومسلم (1/155)، وأبو داود (9);متفق عليه
86;رأيت رسول الله ﷺ على رأحصة مستقبلاً بيت المقدس مستدبراً الكعبة;ابن عمر;الجماعة إلا البخاري;صحيح
87;نهى النبي ﷺ أن نستقبل القبلة بول أو غائط فرأيته قبل أن يقبض بعام يبول مستقبل القبلة;جابر بن عبد الله;الخمسة إلا النسائي;صحيح
88;أنه ذُكر لرسول الله ﷺ أن ناساً يكرهون أن يستقبلوا القبلة بفروجهم فقال: أو قد فعلوها؟ حوِّلوا مقعدتي نحو القبلة;عائشة;أحمد (6/76)، وابن ماجه (324)، وابن خزيمة (58)، والحاكم (1/154)، والبيهقي (1/92);حسن
89;رأيت ابن عمر راحاً أنه مستقبل القبلة بول فقلت له أبا عبد الرحمن أليس قد نُهي عن ذلك؟ قال بلى إنما نُهي عن ذلك في الفضاء فإذا كان بينك وبين القبلة شيء يسترك فلا بأس;مروان الأصفر;أبو داود (11);صحيح
90;مال رسول الله ﷺ إلى جنب حائط فبال;أبو موسى الأشعري;أحمد (4/392)، وأبو داود (23);صحيح
91;نهى رسول الله ﷺ أن يُبال في الجُحر;عبد الله بن سرجس;أحمد (5/82)، وأبو داود (29)، والترمذي (18)، وابن ماجه (660);صحيح
92;اتقوا اللاعنين؟ قالوا: وما اللاعنين يا رسول الله؟ قال: الذي يتخلى في طريق الناس أو في ظلِّهم;أبو هريرة;أحمد (2/372)، وأبو داود (25)، وابن ماجه (328);صحيح
93;اتقوا الملاعن الثلاث: البراز في الموارد والظل والطريق;معاذ بن جبل;أحمد (5/241)، وابن ماجه (328);حسن
94;لا يبولن أحدكم في مستحمّه ثم يغتسل فيه فإن عامة الوسواس منه;عبد الله بن مغفل;أحمد (4/86)، وأبو داود (27)، والترمذي (21)، وابن ماجه (304);صحيح
95;نهى النبي ﷺ أن يُبال في الماء الراكد;جابر بن عبد الله;أحمد (3/360)، ومسلم (1/162)، والنسائي (1/34)، وابن ماجه (343);صحيح
96;كانت للنبي ﷺ قدح من عيدان تحت سريره يبول فيه بالليل;أميمة بنت رقيقة عن أمها;مسلم (1/156)، وأبو داود (24)، والنسائي (1/30);صحيح
97;إن النبيّ ﷺ أوصى إلى عليّ لقد دعا بالطست ليبول فيها فانتفخت نفسه وما شعرت;عائشة;النسائي (1/35)، وابن ماجه (305);صحيح
98;من حدثكم أن النبي ﷺ كان يبول قائماً فلا تصدقوه ما كان يبول إلا جالساً;عائشة;الخمسة إلا البخاري;صحيح
99;نهى النبي ﷺ أن يبول الرجل قائماً;جابر بن عبد الله ﵁;ابن ماجه (309)، وإسناده ضعيف;ضعيف
100;انتهى النبيّ ﷺ إلى سُباطة قوم فبال قائماً;حذيفة بن اليمان;البخاري (1/50)، ومسلم (1/157)، وأحمد (5/382);متفق عليه
101;إذا ذهب أحدكم إلى الغائط فليستتر فإن لم يجد إلا أن يجمع كثيباً من رمل فليستدبره فإن الشيطان يلعب بمقاعد ابن آدم;أبو هريرة;أحمد (2/371)، وأبو داود (35)، وابن ماجه (335);صحيح
102;إنهما يُعذَّبان وما يعذَّبان في كبير، أما أحدهما فكان لا يستتر من بوله;ابن عباس;البخاري (1/51)، ومسلم (1/165)، وأحمد (1/225);متفق عليه
103;تنزَّهوا من البول فإن عامة عذاب القبر منه;أنس بن مالك;الدارقطني (1/127);ضعيف
104;علَّمكم نبيُّكم كل شيء حتى الخراءة قال سلمان: أجل نهانا أن نستقبل القبلة أو أن نستنجي باليمين أو أن نستنجي بأقل من ثلاثة أحجار أو أن يستنجي أحدنا بروث أو بعظم;سلمان الفارسي;مسلم (1/152)، وأبو داود (7)، والترمذي (16);صحيح
105;إذا أتى أحدكم الغائط فليستجمر ثلاثاً;جابر بن عبد الله;أحمد (3/400)، وابن ماجه (356);صحيح
106;من استجمر فليوتر ومن لا فلا حرج;أبو هريرة;أحمد (2/371)، وأبو داود (35)، وابن ماجه (335);صحيح
107;في ثلاثة أحجار ليس فيها رجيع;خُزيمة بن ثابت;أحمد (5/213)، وأبو داود (41)، وابن ماجه (316);صحيح
108;أمرنا النبيُّ ﷺ ـ أي لا نكتفي بدون ثلاثة أحجار أو أن نستنجي بأقل من ثلاثة أحجار;سلمان الفارسي;مسلم (1/223)، وابن ماجه (315);صحيح
109;نهى النبي ﷺ أن يُتمسَّح بعظم أو بَعرة;جابر بن عبد الله;أحمد (3/437)، ومسلم (1/154)، وأبو داود (39);صحيح
110;لا يستنجي أحدكم بروث ولا بعظم وقال: إنهما لا يطهِّران;أبو هريرة;الدارقطني (1/56)، وإسناده صحيح;صحيح
111;أتاني جبريل فأمرني أن آتي الجن فأقرأهم القرآن وكان أحد الزاد الروث والعظام;ابن مسعود;أحمد (1/387)، ومسلم (2/36)، والترمذي (3258);صحيح
112;كان النبي ﷺ يحمل معه إداوة لوضوءه وحاجته فإذا أراد الاستنجاء استنجى بها;أبو هريرة;أحمد (2/458)، والبخاري (1/49)، ومسلم (1/161);متفق عليه
113;أتى النبيُّ ﷺ الغائط فأمرني أن آتيه بثلاثة أحجار فأخذ الحجرين وألقى الروثة وقال: هذه رجس;ابن مسعود;البخاري (1/57/4)، وابن خزيمة (83);صحيح
114;كان رسول الله ﷺ إذا دخل الخلاء أتيته بالماء فيغتسل به أو يستنجي به;أنس بن مالك;البخاري (1/49)، ومسلم (1/161)، والنسائي (1/38)، وأبو داود (43);متفق عليه
115;كنا نخرج مع رسول الله ﷺ إلى الخلاء فيأتي بعضنا من الاستنجاء بالماء وبعضنا بالأحجار;عائشة ومعاذة;أحمد (6/113)، والترمذي (19)، والنسائي (1/43)، وصحَّحه;صحيح
116;نزلت فيه رجال يُحبُّون أن يتطهَّروا بالماء قال: كانوا يستنجون بالماء فنزلت فيهم هذه الآية;أبو هريرة;أبو داود (44)، والترمذي (3100)، وابن ماجه (357);حسن
117;أُرسل المقداد بن الأسود إلى رسول الله ﷺ يسأله عن الرجل يجد المذي يقذره فقال: يغسل ذكره ثم يتوضأ;النسائي (1/95);علي بن أبي طالب;صحيح
118;أنه قال: وجب الغسل إذا جامع الرجل المرأة وإذا أقبل ثم لم ينزل;أبي بن كعب;أخرجه;صحيح
119;إذا مسَّ الختانُ الختانَ فقد وجب الغسل;عائشة;مسلم (1/183)، والترمذي (108)، وابن ماجه (608);صحيح
120;إذا مس الختانان فقد وجب الغسل أنزل أو لم ينزل;ابن عمر;أحمد (2/23)، وابن ماجه (609);صحيح
121;كان النبيّ ﷺ يد اليُسرى للطهور ويجعل اليُمنى للطعام والشراب والثياب;عائشة;أبو داود (33)، والنسائي (1/42);صحيح
122;السواك مطهرة للفم مرضاة للرب;عائشة;أحمد (6/62)، والنسائي (1/10)، وللبخاري تعليقاً;صحيح
123;لولا أن أشق على أمتي لأمرتهم بالسواك عند كل صلاة;زيد بن خالد;أحمد (4/116)، وأبو داود (46)، وابن ماجه (287);صحيح
124;لولا أن أشق على أمتي لأمرتهم بالسواك مع كل وضوء;أبو هريرة;الجماعة;صحيح
125;المقداد بن شريح عن أبيه قال قلت لعائشة بأيِّ شيء كان يبدأ النبيُّ ﷺ إذا دخل بيته؟ قالت: بالسواك;عائشة;البخاري إلا الجماعة;صحيح
126;كان النبيُّ ﷺ إذا قام من الليل يشوص فاه بالسواك;حذيفة بن اليمان;البخاري (1/36)، ومسلم (1/152)، وأحمد (5/395);متفق عليه
127;أن النبيّ ﷺ كان لا يرقد ليلاً ولا نهاراً فيستيقظ إلا تسوَّك;أحمد وأبو داود;عائشة;صحيح
128;كنا نُعدُّ له سواكه وطهوره فيبعثه الله ما شاء أن يبعثه من الليل فيتسوَّك ويتوضأ ويصلي;علي بن أبي طالب;البخاري (1/36)، ومسلم (1/152);متفق عليه
129;رأيت رسول الله ﷺ ما لا أُحصي ما لا أستطيع أن أحصيه يتوضأ ويُصلي فيه وهو صائم;عامر بن ربيعة;أحمد (3/445)، وأبو داود (1660)، والترمذي (725);حسن صحيح
130;من خير خصال الصيام السواك;ابن ماجه وغيره;عائشة;حسن
131;لَخُلوف فم الصائم أطيب عند الله من ريح المسك;أبو هريرة;البخاري (1/236/4)، ومسلم (3/157);متفق عليه
132;خمس من الفطرة: الاستحداد والختان وقص الشارب ونتف الإبط وتقليم الأظفار;أبو هريرة;البخاري (1/55/3)، ومسلم (1/152)، وأحمد (2/229);متفق عليه
133;وقَّت لنا رسول الله ﷺ في قص الشارب وتقليم الأظفار ونتف الإبط وحلق العانة أن لا نترك أكثر من أربعين ليلة;أنس بن مالك;مسلم (1/153)، وأبو داود (4200)، وابن ماجه (295);صحيح
134;عشر من الفطرة: قص الشارب وإعفاء اللحية والسواك والاستنشاق والختان وغسل البراجم ونتف الإبط وتقليم الأظفار وانتقاص الماء يعني الاستنجاء;عائشة;مسلم (1/152)، وأبو داود (53)، والترمذي (2757)، والنسائي (1/15);صحيح
135;احتتن إبراهيم النبيُّ ﷺ بعد ما أتت عليه ثمانون سنة باقوم;أبو هريرة;البخاري (1/55/3)، ومسلم (1/152)، وأحمد (2/229);متفق عليه
136;أسلم عتبة بن أسيد وقد مضت له عشرون ومئة سنة فأمره رسول الله ﷺ أن يختتن;عتبة بن أسيد;أحمد (3/415)، وابن ماجه (316);صحيح
137;جاء من جدِّه أنه أتى النبي ﷺ فقال: قد أسلمت فقال: ألق عنك شعر الكفر يعني اختتن;ابن جريج من جدّه;أحمد (3/415)، وأبو داود (356);حسن
138;من لم يأخذ من شاربه فليس منا;زيد بن أرقم;أحمد (4/366)، والنسائي (1/15)، وابن خزيمة (78)، وصحَّحه الترمذي;صحيح
139;جُزُّوا الشوارب وأرخوا اللُّحى خالفوا المجوس;أبو هريرة;أحمد (2/16)، ومسلم (1/153)، وابن ماجه (294);صحيح
140;خالفوا المشركين وفِّروا اللحى وأحفوا الشوارب;ابن عمر;البخاري (2/206/7)، ومسلم (1/153)، وأحمد (2/16);متفق عليه
141;لا تنتفوا الشيب فإنه نور المسلم ما من مسلم يشيب شيبة في الإسلام إلا كانت له حسنةً وحُطَّت بها عنه خطيئةً;عمرو بن شعيب عن أبيه عن جدِّه;أحمد (2/179)، وأبو داود (4202);حسن
142;جيء بأبي قحافة يوم الفتح ورأسه ولحيته كالثغامة بياضاً فقال رسول الله ﷺ: اذهبوا به إلى بعض نسائه فغيِّروه;جابر بن عبد الله;الجماعة إلا البخاري;صحيح
143;في سيرته بن محمد أن إن رسول الله ﷺ لم يكن يشيب إلا يسيراً ولكن أبا بكر خضب بالحناء والكتم;مسلم (2/208/7);محمد بن سيرين;صحيح
